NO,KELAMIN,STATUS,PERNIKAHAN,IPK,KETERANGAN
1,LAKI - LAKI,MAHASISWA,BELUM,3.17,TEPAT
2,LAKI - LAKI,BEKERJA,BELUM,3.30,TEPAT
3,PEREMPUAN,MAHASISWA,BELUM,3.01,TEPAT
4,PEREMPUAN,MAHASISWA,MENIKAH,3.25,TEPAT
5,LAKI - LAKI,BEKERJA,MENIKAH,3.20,TEPAT
6,LAKI - LAKI,BEKERJA,MENIKAH,2.50,TERLAMBAT
7,PEREMPUAN,BEKERJA,MENIKAH,3.00,TERLAMBAT
8,PEREMPUAN,BEKERJA,BELUM,2.70,TERLAMBAT
9,LAKI - LAKI,BEKERJA,BELUM,2.40,TERLAMBAT
10,PEREMPUAN,MAHASISWA,MENIKAH,2.50,TERLAMBAT
11,PEREMPUAN,MAHASISWA,BELUM,2.50,TERLAMBAT
12,PEREMPUAN,MAHASISWA,BELUM,3.50,TEPAT
13,LAKI - LAKI,BEKERJA,MENIKAH,3.30,TEPAT
14,LAKI - LAKI,MAHASISWA,MENIKAH,3.25,TEPAT
15,LAKI - LAKI,MAHASISWA,BELUM,2.30,TERLAMBAT